,province,2016,2015,2014,2013
0, 江苏,377.0,502.0,357.0,268.0
1, 上海,190.0,246.0,193.0,185.0
2, 北京,184.0,201.0,123.0,143.0
3, 山东,179.0,166.0,116.0,53.0
4, 浙江,174.0,204.0,144.0,73.0
5, 广东,148.0,130.0,317.0,149.0
6, 四川,136.0,76.0,35.0,33.0
7, 安徽,64.0,130.0,49.0,24.0
8, 重庆,64.0,102.0,26.0,19.0
9, 福建,55.0,65.0,63.0,26.0
10, 湖北,54.0,78.0,59.0,47.0
11, 河南,51.0,39.0,24.0,12.0
12, 陕西,49.0,55.0,44.0,81.0
13, 湖南,48.0,68.0,43.0,27.0
14, 黑龙,47.0,82.0,70.0,40.0
15, 天津,44.0,51.0,54.0,13.0
16, 辽宁,34.0,48.0,33.0,23.0
17, 广西,24.0,42.0,25.0,6.0
18, 河北,19.0,23.0,10.0,9.0
19, 江西,14.0,26.0,12.0,14.0
20, 吉林,14.0,20.0,19.0,13.0
21, 山西,11.0,18.0,16.0,16.0
22, 甘肃,10.0,21.0,9.0,8.0
23, 云南,7.0,13.0,5.0,1.0
24, 新疆,6.0,4.0,8.0,8.0
25, 贵州,2.0,3.0,1.0,0.0
26, 海南,2.0,1.0,2.0,1.0
27, 宁夏,1.0,0.0,0.0,1.0
28, 内蒙,1.0,2.0,0.0,1.0
29, 青海,0.0,2.0,6.0,0.0
30, 西藏,0.0,0.0,0.0,0.0
